ques,op1,op2,op3,op4,op5,"m,n",ans,sol,topic
"<p align=""justify""> <font face=""Cambria Math, serif"">Carbon forms a very large number of compounds because:</font></p>",   It is a non-metal           ,   It forms covalent bonds           ,   It has a strong tendency of catenation           ,   Compounds are combustible      ,,,3 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">What will be the order of reactivity of the following carbonyl compounds with Grignard’s reagent?</font></p> <p><img align=""bottom"" height=""135"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_ec284cce8c91b245.gif"" width=""211""/> ",   I &gt; II &gt; III &gt; IV   ,   IV &gt; III &gt;II &gt; I   ,   II &gt; I &gt; IV &gt; III   ,   III &gt; II &gt; I &gt; IV    ,,,1 ," <p> <font face=""Cambria Math, serif"">As the number and the size of the alkyl groups increases, reactivity decreases. Hence, the reactivity order is</font></p> <p><img align=""bottom"" height=""99"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_280148d5cbfe9624.gif"" width=""270""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">By which of the following reagents can the following conversion be affected?</font></p> <p><img align=""bottom"" height=""83"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_69c921a7e2a5dab.gif"" width=""215""/> ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f2a7fee24131d8f3.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_96b858400f7e9b70.gif""/>          ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_623c360da392774a.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_acb91d37df4b94c1.gif""/>     ",,,3," <p> <font face=""Cambria Math, serif"">Keto group is protected by ethylene glycol being reduced and ester radical of the compound is reduced to tertiary alcohol by reaction with Grignard reagent and subsequent hydrolysis</font></p> <p><img align=""bottom"" height=""180"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_4f4e76968b4a3827.gif"" width=""285""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Which of the following does not give HVZ reaction?</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_34db8adf9342244c.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_24f17916335d6326.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b09abe52baa15cf8.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_7baf91ebf53c1b97.gif""/>     ",,,3 ," <p><font face=""Cambria Math, serif"">In Hell-Volhard Zelinsky reaction, when acid reacts with </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_301413447a24469f.gif""/> <font face=""Cambria Math, serif""> or </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_fec77e0da1cbcef3.gif""/> <font face=""Cambria Math, serif""> in presence of red phosphorus </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_56e4dc37afee54d6.gif""/> <font face=""Cambria Math, serif"">-hydrogen atom of the acid is replaced by halogen atom. HCOOH does not give HVZ reaction due to absence of </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_56e4dc37afee54d6.gif""/> <font face=""Cambria Math, serif"">-hydrogen atom</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <img align=""bottom"" height=""55"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_d8ee729658cd712e.gif"" width=""163""/> ","   <img align=""bottom"" height=""62"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_866e4725d92ef1d4.gif"" width=""96""/>    ","   <img align=""bottom"" height=""57"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e2aed0609c52eb04.gif"" width=""50""/>    ","   <img align=""bottom"" height=""56"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_3aed3f897ce308d8.gif"" width=""89""/>    ","   <img align=""bottom"" height=""113"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_292962bc9d2323b0.gif"" width=""99""/>     ",,,3 ," <p> <img align=""bottom"" height=""57"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b88cffc6631019fc.gif"" width=""238""/> </p> <p> <font>Phthalic acid</font></p> <p><font face=""Cambria Math, serif"">In presence of </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_ac13cdd2ba03558e.gif""/> <font face=""Cambria Math, serif""> when heated phthalic acid undergoes decarboxylation.</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Which of the following on treatment with Baeyer’s reagent will give </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_35e4477c9beda681.gif""/> <font face=""Cambria Math, serif"">-tartaric acid?</font></p>",   Fumaric acid   ,   Maleric acid   ,   Both (a) and (b)   ,   None of these    ,,,2 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Wolff-Kishner’s reaction is:</font></p>",   Reduction of carbonyl compound into hydrocarbons           ,   Reduction of carbonyl compound into alcohols           ,   Reduction of nitrobenzene into aniline           ,   Reduction of carbohydrates to alcohols    ,,,1," <p><font face=""Cambria Math, serif"">Wolff-Kishner’s reaction involves reduction of carbonyl compound into alkane using alkaline hydrazine as reducing agent. </font> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Colouration of </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_93506804600ff6df.gif""/> <font face=""Cambria Math, serif"">will be discharged by</font></p>",   Cinnamic acid   ,   Benzoic acid   ,   <i>o</i>-phthalic acid   ,   acetophenone    ,,,1 ," <p> <font face=""Cambria Math, serif"">Benzoic acid,</font><font face=""Cambria Math, serif""><i> o</i></font><font face=""Cambria Math, serif"">-phthalic acid and acetophenone inspite of having double bonds, does not give unsaturation test (addition with </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_93506804600ff6df.gif""/> <font face=""Cambria Math, serif"">) as they are aromatic compounds and are quite stable due to large resonance energy. Cinnamic acid, on the other hand has a double bond outside the benzene ring (in the side chain) hence it gives unsaturation test.</font></p> <p> <br/> <br/> </p> <p><img align=""bottom"" height=""163"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_32d042459ca274ae.gif"" width=""223""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <img align=""bottom"" height=""57"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_aa7112da304d4f8.gif"" width=""179""/> ","   <img align=""bottom"" height=""60"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_42f62dd8c5d2392a.gif"" width=""103""/>    ","   <img align=""bottom"" height=""59"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_52b5cbab1d3c6afc.gif"" width=""103""/>    ","   <img align=""bottom"" height=""63"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_470010375f669582.gif"" width=""103""/>    ","   <img align=""bottom"" height=""62"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_1f70e7039590b635.gif"" width=""109""/>     ",,,2 ," <p> <img align=""bottom"" height=""105"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_d9ab4f2623c5cb4e.gif"" width=""232""/> </p> <p><font face=""Cambria Math, serif"">This reaction is an example of intramolecular Cannizaro’s reaction.</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Aldehydes and ketones both give addition reaction with:</font></p>",   HCN   ,"   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_21366cd9be88015b.gif""/>    ",   Both (a) and (b)   ,   None of these    ,,,3 ," <p align=""justify""> <img align=""bottom"" height=""135"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_977dd6baeee0758c.gif"" width=""229""/> </p> <p align=""justify""><font face=""Cambria Math, serif""><b>Note :</b></font><font face=""Cambria Math, serif""> only methyl ketones react with </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b95352686ee42559.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Identify the organic compound which, on heating with strong solution of NaOH, partly converted into an, acid salt and partly into alcohol.</font></p>",   Benzyl alcohol   ,   Acetaldehyde   ,   Acetone   ,   Benzaldehyde    ,,,4," <p> <font face=""Cambria Math, serif"">Benzaldehyde lacks </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_bc59202daf45236a.gif""/> <font face=""Cambria Math, serif"">hydrogen atom, hence undergo Cannizaro reaction in which it disproportionate into benzyl alcohol and sodium benzoate.</font></p> <p align=""left""><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_ec38f34aa5583247.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Which of the following will undergo Cannizzaro’s reaction?</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_8778898fa4c7b129.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_11c71dc85faefd27.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_ce674779810f019d.gif""/>    ",   None of these    ,,,3 ," <p><font face=""Cambria Math, serif"">Although it has α-H-atom but undergoes Cannizzaro’s reaction; an exception. </font> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Long chain carboxylic acids are called fatty acids because:</font></p>",   The molecule is very fatty           ,   The molecules were first found in natural fat         ,   They have fattering effect         ,   None of the above      ,,,2 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Which of the following reagents can form a hydrazone with alkanone? </font> ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_4959ef168f1506a.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_9c6adacc0317dec9.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_4aff4fe7e5faa4a9.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f3387b2da8823700.gif""/>     ",,,2 ," <p> <font face=""Cambria Math, serif"">Hydrazines react with alkanones to give an addition-elimination reaction and hydrazones are obtained.</font></p> <p><img align=""bottom"" height=""39"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_6798aaaeec18ba64.gif"" width=""289""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Identify </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b644513e33cc2a6.gif""/> <font face=""Cambria Math, serif""> in the sequence:</font></p> <p><img align=""bottom"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_7af7f30ff826a7f9.gif""/> ","   <img align=""bottom"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_9eaaf8a8dc279768.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_483db2185e9698bf.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_dbaa25e73468ddaf.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_8ac2441bb11ac6f1.gif""/>     ",,,1," <p align=""justify""><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_fe67800e5af3e8e1.gif""/> <font face=""Cambria Math, serif"">must be a tertiary alcohol as it gives alkene on treatment with Cu. Thus </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_920d0fd3fb5c2d6.gif""/> <font face=""Cambria Math, serif""> is a ketone. </font> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p align=""justify""> <font face=""Cambria Math, serif"">The reaction of HCOOH with conc. </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_bbf6f251fa9f45db.gif""/> <font face=""Cambria Math, serif""> gives:</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_9996d0d056a2c839.gif""/>    ",   CO   ,   Oxalic acid   ,   Acetic acid    ,,,2 ," <p><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_590dcb81c019277.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Which of the following will react with water?</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_393ceb4909b3dd44.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_44d1b052f9308a14.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_d20c33db3f9681db.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_a996a05b931bc4c7.gif""/>     ",,,2 ," <p align=""left""><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_5113a8b6190f12c3.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p align=""justify""> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b7bc20bff7bd9d36.gif""/> —<font face=""Cambria Math, serif"">C≡C—</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_5f597746386010b.gif""/> <font face=""Cambria Math, serif"">is:</font></p>","   <img align=""bottom"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_a35928051a114d80.gif""/>    ","   <img align=""bottom"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_1a47cf09fb2bd010.gif""/>    ","   <img align=""bottom"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_76efb0ac7b6ea602.gif""/>    ","   <img align=""bottom"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_3a852f7adf93f484.gif""/>     ",,,1 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <img align=""bottom"" height=""41"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_87557b6855886082.gif"" width=""187""/> </p> <p><font face=""Cambria Math, serif"">Product is</font></p>","   <img align=""bottom"" height=""47"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_7882a4fe1dcc31b.gif"" width=""116""/>    ","   <img align=""bottom"" height=""72"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_38e6d194fe52a36.gif"" width=""69""/>    ","   <img align=""bottom"" height=""47"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b43b28140b1db38.gif"" width=""126""/>    ","   <img align=""bottom"" height=""35"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e80f96c75c8b3762.gif"" width=""54""/>     ",,,3," <p> <font face=""Cambria Math, serif"">In the reaction of carboxylic acid with diazomethane, methyl esters are produced with liberation of </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_146763b3f73e81ab.gif""/> </p> <p><img align=""bottom"" height=""53"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_928e3470cbed37c2.gif"" width=""262""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Ketones are first oxidation product of:</font></p>",   Primary alcohols   ,   Secondary alcohols     ,   Dihydric alcohols     ,   Trihydric alcohols      ,,,2 ," <p align=""left""><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e278dc0a91ca1b72.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Which does not react with Fehling’s solution?</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_96ca8eaafc849144.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_16096e66715a179e.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_6391dd08be3ad1f.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b09abe52baa15cf8.gif""/>     ",,,2 ," <p><font face=""Cambria Math, serif"">Aromatic aldehyde</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_aa9eaf04a5247cc9.gif""/> <font face=""Cambria Math, serif""> are not able to reduce Fehling’s solution but it gives Cannizaro’s reaction with alkali.</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">When sucrose is heated with conc. </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_4165892ba5a13925.gif""/> <font face=""Cambria Math, serif"">the product is:</font></p>",   Sucrose nitrate     ,   Formic acid     ,   Oxalic acid     ,   Citric acid      ,,,3 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Amides are formed by the reaction of acid chloride with</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_cee447461d077531.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c98fae0de4fc8165.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_80376c0c266583cf.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_1590bc4a2972607f.gif""/>     ",,,2," <p align=""left""> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_d246d08c32c741ff.gif""/> </p> <p><font face=""Cambria Math, serif""><font>Acid chloride amide</font></font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The product formed in aldol condensation is:</font></p>",   A β-hydroxy aldehyde or a β-hydroxy ketone           ,   An α-hydroxy aldehyde or ketone           ,"   An α,β-unsaturated ester         ",   A β-hydroxy acid      ,,,1 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Tartaric acid is not used in :</font></p>",   Dyeing of clothes     ,   Cosmetics   ,   Photography     ,   Medicines      ,,,2 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p align=""justify""> <font face=""Cambria Math, serif"">Acetaldehyde on treatment of few drops of </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_bbf6f251fa9f45db.gif""/> <font face=""Cambria Math, serif""> gives:</font></p>",   Ethyl acetate     ,   Ethyl alcohol     ,   Ethyl methylamine     ,   Paraldehyde    ,,,4 ," <p><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e40752729d9deb5.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Salt can be obtained from a concentrated seawater by:</font></p>",   Catalysis     ,   Decomposition     ,   Hydrolysis     ,   Crystallization      ,,,4," <p><font face=""Cambria Math, serif"">Crystallization of conc. solution separates out salts.</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Liquid obtained by distillation of red ant is</font></p>",   Formaline   ,   Formaldehyde   ,   Formic acid   ,   Formyl chloride    ,,,3 ," <p><font face=""Cambria Math, serif"">By distillation of red ant, formic acid is obtained.</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Monocarboxylic acids show functional isomerism with :</font></p>",   Esters     ,   Alcohols   ,   Ethers     ,   Aldehydes      ,,,1 ," <p> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_7e5d9368269832f8.gif""/> <font face=""Cambria Math, serif"">COOH and HCOO</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_7e5d9368269832f8.gif""/> <font face=""Cambria Math, serif""> are functional isomers having</font></p> <p><img align=""bottom"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_625ba948fc701054.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_fac7ec7e86ab9985.gif""/> <font face=""Cambria Math, serif"">is</font></p>",   Baeyer-Villiger reaction   ,   Meerwein-Ponndorff Verley reduction         ,   Vilsmeier-Hack reaction   ,   None of the above    ,,,2 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The product formed in the reaction </font><font face=""Cambria Math, serif""><i>n</i></font><font face=""Cambria Math, serif"">-hexanamide </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_6917e4671f621b9b.gif""/> <font face=""Cambria Math, serif"">is</font></p>",   Hexanamine   ,   Propanamine   ,   Butanamine   ,   pentanamine    ,,,4," <p> <font face=""Cambria Math, serif"">When amide is heated with a mixture of </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_301413447a24469f.gif""/> <font face=""Cambria Math, serif""> in the presence of NaOH or KOH amine is formed which has one carbon atom less than original amide. This is called Hofmann’s degradation reaction.</font></p> <p><font face=""Cambria Math, serif"">Hexanamide</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b748c44a4b382446.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Semicarbazide is:</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_a040d2cd21f2083.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_fbbddf50c7b88a03.gif""/> —<img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_fbbddf50c7b88a03.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_8c8164da3c20b7d5.gif""/>    ",   None of these      ,,,3 ," <p align=""left""><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_fcfdc4974886b417.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
